id_municipio,uf,municipio,longitude,latitude
1425,MG,Bom Jesus do Amparo,-43.478225,-19.70543
1426,MG,Bom Jesus do Galho,-42.316472,-19.836006
1427,MG,Bom Repouso,-46.144036,-22.467494
1428,MG,Bom Sucesso,-44.753745,-21.032875
1429,MG,Bonfim,-44.236565,-20.330215
1430,MG,Bonfinópolis de Minas,-45.983859,-16.568034
1431,MG,Bonito de Minas,-44.754267,-15.323129
1432,MG,Borda da Mata,-46.165349,-22.270701
1433,MG,Botelhos,-46.391006,-21.641157
1434,MG,Botumirim,-43.008578,-16.865741
1435,MG,Brasilândia de Minas,-46.00811,-16.999868
1436,MG,Brasília de Minas,-44.429897,-16.210382
1437,MG,Brasópolis,-45.612995,-22.470019
1439,MG,Braúnas,-42.709896,-19.05616
1440,MG,Brumadinho,-44.200675,-20.150989
1438,MG,Brás Pires,-43.240556,-20.841912
1441,MG,Bueno Brandão,-46.349102,-22.438321
1442,MG,Buenópolis,-44.177504,-17.874432
1443,MG,Bugre,-42.255184,-19.423063
1444,MG,Buritis,-46.422078,-15.621802
1445,MG,Buritizeiro,-44.960581,-17.365588
1446,MG,Cabeceira Grande,-47.086153,-16.03351
1447,MG,Cabo Verde,-46.391857,-21.469945
1451,MG,Cachoeira Dourada,-49.503876,-18.516147
1448,MG,Cachoeira da Prata,-44.454383,-19.520967
1449,MG,Cachoeira de Minas,-45.780866,-22.351107
1450,MG,Cachoeira de Pajeú,-41.494766,-15.968828
1452,MG,Caetanópolis,-44.418871,-19.297075
1453,MG,Caeté,-43.670353,-19.88261
1454,MG,Caiana,-41.929208,-20.695579
1455,MG,Cajuri,-42.792504,-20.790301
1456,MG,Caldas,-46.384314,-21.918309
1457,MG,Camacho,-45.159327,-20.629367
1458,MG,Camanducaia,-46.149444,-22.751534
1460,MG,Cambuquira,-45.289572,-21.853985
1459,MG,Cambuí,-46.057228,-22.611537
1462,MG,Campanha,-45.400394,-21.835977
1461,MG,Campanário,-41.735506,-18.24271
1463,MG,Campestre,-46.23808,-21.707874
1464,MG,Campina Verde,-49.486247,-19.53815
1465,MG,Campo Azul,-44.809624,-16.502805
1466,MG,Campo Belo,-45.269892,-20.893182
1468,MG,Campo Florido,-48.571623,-19.763085
1467,MG,Campo do Meio,-45.827333,-21.112735
1469,MG,Campos Altos,-46.172545,-19.691378
1470,MG,Campos Gerais,-45.7569,-21.237025
1473,MG,Cana Verde,-45.180062,-21.023207
1471,MG,Canaã,-42.616676,-20.686889
1474,MG,Candeias,-45.276465,-20.769222
1475,MG,Cantagalo,-42.622259,-18.524772
1472,MG,Canápolis,-49.20355,-18.721229
1476,MG,Caparaó,-41.906063,-20.528897
1477,MG,Capela Nova,-43.621961,-20.917906
1478,MG,Capelinha,-42.514705,-17.688792
1479,MG,Capetinga,-47.057141,-20.616314
1480,MG,Capim Branco,-44.130351,-19.547067
1481,MG,Capinópolis,-49.570618,-18.686221
1482,MG,Capitão Andrade,-41.861414,-19.074835
1483,MG,Capitão Enéas,-43.708443,-16.32654
1484,MG,Capitólio,-46.049257,-20.616373
1485,MG,Caputira,-42.26832,-20.170342
1487,MG,Caranaíba,-43.741716,-20.870663
1488,MG,Carandaí,-43.811002,-20.956604
1489,MG,Carangola,-42.031348,-20.734348
1490,MG,Caratinga,-42.129217,-19.786805
1486,MG,Caraí,-41.700359,-17.186161
1491,MG,Carbonita,-43.013688,-17.525492
1492,MG,Careaçu,-45.696011,-22.042379
1493,MG,Carlos Chagas,-40.772276,-17.697335
